line_no,field,original_value,offset
170,dest_ip,10.22.67.255,162
170,dest_port,57621,175
171,timestamp,03/17/2025-23:00:29.305736,0
171,src_ip,10.22.66.204,140
171,src_port,57621,153
171,dest_ip,10.22.67.255,162
171,dest_port,57621,175
172,timestamp,03/17/2025-23:00:40.386468,0
172,src_ip,10.22.65.82,140
172,src_port,57621,152
172,dest_ip,10.22.67.255,161
172,dest_port,57621,174
173,timestamp,03/17/2025-23:00:45.680070,0
173,src_ip,10.22.67.125,140
173,src_port,57621,153
173,dest_ip,10.22.67.255,162
173,dest_port,57621,175
174,timestamp,03/17/2025-23:00:50.466020,0
174,src_ip,10.22.64.146,140
174,src_port,57621,153
174,dest_ip,10.22.67.255,162
174,dest_port,57621,175
175,timestamp,03/17/2025-23:00:54.695301,0
175,src_ip,10.22.65.120,140
175,src_port,57621,153
175,dest_ip,10.22.67.255,162
175,dest_port,57621,175
176,timestamp,03/17/2025-23:00:57.868361,0
176,src_ip,10.22.67.162,140
176,src_port,57621,153
176,dest_ip,10.22.67.255,162
176,dest_port,57621,175
177,timestamp,03/17/2025-23:01:23.658494,0
177,src_ip,10.22.67.180,140
177,src_port,57621,153
177,dest_ip,10.22.67.255,162
177,dest_port,57621,175
178,timestamp,03/17/2025-23:02:19.335153,0
178,src_ip,10.22.66.143,140
178,src_port,57621,153
178,dest_ip,10.22.67.255,162
178,dest_port,57621,175
179,timestamp,03/17/2025-23:02:33.017484,0
179,src_ip,10.22.67.184,140
179,src_port,57621,153
179,dest_ip,10.22.67.255,162
179,dest_port,57621,175
180,timestamp,03/17/2025-23:02:43.204188,0
180,src_ip,10.22.66.180,140
180,src_port,57621,153
180,dest_ip,10.22.67.255,162
180,dest_port,57621,175
181,timestamp,03/17/2025-23:02:52.845837,0
181,src_ip,10.22.66.121,140
181,src_port,57621,153
181,dest_ip,10.22.67.255,162
181,dest_port,57621,175
182,timestamp,03/17/2025-23:03:19.818980,0
182,src_ip,142.250.207.66,154
182,src_port,443,169
182,dest_ip,10.22.64.192,176
182,dest_port,38585,189
183,timestamp,03/17/2025-23:03:19.818980,0
183,src_ip,142.250.207.66,151
183,src_port,443,166
183,dest_ip,10.22.64.192,173
183,dest_port,38585,186
184,timestamp,03/17/2025-23:04:43.320714,0
184,src_ip,10.22.66.87,170
184,src_port,58421,182
184,dest_ip,10.22.64.134,191
184,dest_port,1900,204
185,timestamp,03/17/2025-23:05:00.276195,0
185,src_ip,142.250.196.78,154
185,src_port,443,169
185,dest_ip,10.22.64.192,176
185,dest_port,36444,189
186,timestamp,03/17/2025-23:05:00.276195,0
186,src_ip,142.250.196.78,151
186,src_port,443,166
186,dest_ip,10.22.64.192,173
186,dest_port,36444,186
187,timestamp,03/17/2025-23:05:00.276887,0
187,src_ip,142.250.196.78,151
187,src_port,443,166
187,dest_ip,10.22.64.192,173
187,dest_port,36444,186
188,timestamp,03/17/2025-23:05:00.280531,0
188,src_ip,142.250.196.78,151
188,src_port,443,166
188,dest_ip,10.22.64.192,173
188,dest_port,36444,186
189,timestamp,03/17/2025-23:05:00.287421,0
189,src_ip,142.250.196.78,151
189,src_port,443,166
189,dest_ip,10.22.64.192,173
189,dest_port,36444,186
190,timestamp,03/17/2025-23:05:00.290427,0
190,src_ip,142.250.205.66,154
190,src_port,443,169
190,dest_ip,10.22.64.192,176
190,dest_port,39938,189
191,timestamp,03/17/2025-23:05:00.290427,0
191,src_ip,142.250.205.66,151
191,src_port,443,166
191,dest_ip,10.22.64.192,173
191,dest_port,39938,186
192,timestamp,03/17/2025-23:05:00.293559,0
192,src_ip,142.250.205.66,151
192,src_port,443,166
192,dest_ip,10.22.64.192,173
192,dest_port,39938,186
193,timestamp,03/17/2025-23:05:00.297791,0
193,src_ip,142.250.205.66,151
193,src_port,443,166
193,dest_ip,10.22.64.192,173
193,dest_port,39938,186
194,timestamp,03/17/2025-23:05:00.300013,0
194,src_ip,142.250.196.78,151
194,src_port,443,166
194,dest_ip,10.22.64.192,173
194,dest_port,36444,186
195,timestamp,03/17/2025-23:05:00.305756,0
195,src_ip,142.250.205.66,151
195,src_port,443,166
195,dest_ip,10.22.64.192,173
195,dest_port,39938,186
196,timestamp,03/17/2025-23:05:00.322221,0
196,src_ip,142.250.205.66,151
196,src_port,443,166
196,dest_ip,10.22.64.192,173
196,dest_port,39938,186
197,timestamp,03/17/2025-23:05:00.322873,0
197,src_ip,34.128.128.0,154
197,src_port,443,167
197,dest_ip,10.22.64.192,174
197,dest_port,34732,187
198,timestamp,03/17/2025-23:05:00.322873,0
198,src_ip,34.128.128.0,151
198,src_port,443,164
198,dest_ip,10.22.64.192,171
198,dest_port,34732,184
199,timestamp,03/17/2025-23:05:00.328320,0
199,src_ip,34.128.128.0,151
199,src_port,443,164
199,dest_ip,10.22.64.192,171
199,dest_port,34732,184
200,timestamp,03/17/2025-23:05:00.342170,0
200,src_ip,142.250.182.100,154
200,src_port,443,170
200,dest_ip,10.22.64.192,177
200,dest_port,34847,190
201,timestamp,03/17/2025-23:05:00.342170,0
201,src_ip,142.250.182.100,151
201,src_port,443,167
201,dest_ip,10.22.64.192,174
201,dest_port,34847,187
202,timestamp,03/17/2025-23:05:00.342564,0
202,src_ip,34.128.128.0,151
202,src_port,443,164
202,dest_ip,10.22.64.192,171
202,dest_port,34732,184
203,timestamp,03/17/2025-23:05:00.343493,0
203,src_ip,142.250.182.100,151
203,src_port,443,167
203,dest_ip,10.22.64.192,174
203,dest_port,34847,187
204,timestamp,03/17/2025-23:05:00.419357,0
204,src_ip,142.250.182.3,154
204,src_port,443,168
204,dest_ip,10.22.64.192,175
204,dest_port,41432,188
205,timestamp,03/17/2025-23:05:00.419357,0
205,src_ip,142.250.182.3,151
205,src_port,443,165
205,dest_ip,10.22.64.192,172
205,dest_port,41432,185
206,timestamp,03/17/2025-23:05:00.421369,0
206,src_ip,142.250.182.3,151
206,src_port,443,165
206,dest_ip,10.22.64.192,172
206,dest_port,41432,185
207,timestamp,03/17/2025-23:05:00.429854,0
207,src_ip,142.250.182.3,151
207,src_port,443,165
207,dest_ip,10.22.64.192,172
207,dest_port,41432,185
208,timestamp,03/17/2025-23:05:00.447240,0
208,src_ip,142.250.182.3,151
208,src_port,443,165
208,dest_ip,10.22.64.192,172
208,dest_port,41432,185
209,timestamp,03/17/2025-23:05:00.651066,0
209,src_ip,142.251.42.14,154
209,src_port,443,168
209,dest_ip,10.22.64.192,175
209,dest_port,42905,188
210,timestamp,03/17/2025-23:05:00.651066,0
210,src_ip,142.251.42.14,151
210,src_port,443,165
210,dest_ip,10.22.64.192,172
210,dest_port,42905,185
211,timestamp,03/17/2025-23:05:00.905705,0
211,src_ip,10.22.66.116,140
211,src_port,57621,153
211,dest_ip,10.22.67.255,162
211,dest_port,57621,175
212,timestamp,03/17/2025-23:05:03.691183,0
212,src_ip,10.22.65.178,140
212,src_port,57621,153
212,dest_ip,10.22.67.255,162
212,dest_port,57621,175
213,timestamp,03/17/2025-23:05:04.895596,0
213,src_ip,10.22.64.204,140
213,src_port,57621,153
213,dest_ip,10.22.67.255,162
213,dest_port,57621,175
214,timestamp,03/17/2025-23:05:06.171396,0
214,src_ip,10.22.66.236,140
214,src_port,57621,153
214,dest_ip,10.22.67.255,162
214,dest_port,57621,175
215,timestamp,03/17/2025-23:05:10.338419,0
215,src_ip,10.22.65.91,140
215,src_port,57621,152
215,dest_ip,10.22.67.255,161
215,dest_port,57621,174
216,timestamp,03/17/2025-23:05:23.777322,0
216,src_ip,10.22.66.83,140
216,src_port,57621,152
216,dest_ip,10.22.67.255,161
216,dest_port,57621,174
217,timestamp,03/17/2025-23:05:29.098625,0
217,src_ip,10.22.65.223,140
217,src_port,57621,153
217,dest_ip,10.22.67.255,162
217,dest_port,57621,175
218,timestamp,03/17/2025-23:05:37.769722,0
218,src_ip,10.22.65.17,140
218,src_port,57621,152
218,dest_ip,10.22.67.255,161
218,dest_port,57621,174
219,timestamp,03/17/2025-23:05:38.679930,0
219,src_ip,10.22.65.148,140
219,src_port,57621,153
219,dest_ip,10.22.67.255,162
219,dest_port,57621,175
220,timestamp,03/17/2025-23:05:42.904915,0
220,src_ip,10.22.66.87,140
220,src_port,57621,152
220,dest_ip,10.22.67.255,161
220,dest_port,57621,174
221,timestamp,03/17/2025-23:05:48.344977,0
221,src_ip,10.22.65.195,140
221,src_port,57621,153
221,dest_ip,10.22.67.255,162
221,dest_port,57621,175
222,timestamp,03/17/2025-23:05:50.422904,0
222,src_ip,10.22.66.204,140
222,src_port,57621,153
222,dest_ip,10.22.67.255,162
222,dest_port,57621,175
223,timestamp,03/17/2025-23:05:56.214917,0
223,src_ip,34.117.188.166,154
223,src_port,443,169
223,dest_ip,10.22.64.192,176
223,dest_port,37686,189
224,timestamp,03/17/2025-23:05:56.214917,0
224,src_ip,34.117.188.166,151
224,src_port,443,166
224,dest_ip,10.22.64.192,173
224,dest_port,37686,186
225,timestamp,03/17/2025-23:05:56.216930,0
225,src_ip,34.117.188.166,151
225,src_port,443,166
225,dest_ip,10.22.64.192,173
225,dest_port,37686,186
226,timestamp,03/17/2025-23:05:56.223858,0
226,src_ip,34.117.188.166,151
226,src_port,443,166
226,dest_ip,10.22.64.192,173
226,dest_port,37686,186
227,timestamp,03/17/2025-23:05:56.234090,0
227,src_ip,34.117.188.166,151
227,src_port,443,166
227,dest_ip,10.22.64.192,173
227,dest_port,37686,186
228,timestamp,03/17/2025-23:05:57.510577,0
228,src_ip,10.22.65.181,140
228,src_port,57621,153
228,dest_ip,10.22.67.255,162
228,dest_port,57621,175
229,timestamp,03/17/2025-23:05:57.980862,0
229,src_ip,142.250.195.194,154
229,src_port,443,170
229,dest_ip,10.22.64.192,177
229,dest_port,53670,190
230,timestamp,03/17/2025-23:05:57.980862,0
230,src_ip,142.250.195.194,151
230,src_port,443,167
230,dest_ip,10.22.64.192,174
230,dest_port,53670,187
231,timestamp,03/17/2025-23:05:57.982143,0
231,src_ip,142.250.195.194,151
231,src_port,443,167
231,dest_ip,10.22.64.192,174
231,dest_port,53670,187
232,timestamp,03/17/2025-23:05:57.988207,0
232,src_ip,142.250.195.194,151
232,src_port,443,167
232,dest_ip,10.22.64.192,174
232,dest_port,53670,187
233,timestamp,03/17/2025-23:05:57.999945,0
233,src_ip,142.250.195.194,151
233,src_port,443,167
233,dest_ip,10.22.64.192,174
233,dest_port,53670,187
234,timestamp,03/17/2025-23:06:03.263561,0
234,src_ip,10.22.65.82,140
234,src_port,57621,152
234,dest_ip,10.22.67.255,161
234,dest_port,57621,174
235,timestamp,03/17/2025-23:06:10.054910,0
235,src_ip,10.22.64.146,140
235,src_port,57621,153
235,dest_ip,10.22.67.255,162
235,dest_port,57621,175
236,timestamp,03/17/2025-23:06:20.032181,0
236,src_ip,10.22.65.120,140
236,src_port,57621,153
236,dest_ip,10.22.67.255,162
236,dest_port,57621,175
237,timestamp,03/17/2025-23:06:21.609068,0
237,src_ip,10.22.67.125,140
237,src_port,57621,153
237,dest_ip,10.22.67.255,162
237,dest_port,57621,175
238,timestamp,03/17/2025-23:06:21.936644,0
238,src_ip,10.22.67.162,140
238,src_port,57621,153
238,dest_ip,10.22.67.255,162
238,dest_port,57621,175
