timestamp,alert,classification,priority,protocol,src_ip,src_port,dest_ip,dest_port,line_no
03/17/2025-22:54:56.323274,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,172.217.138.39,443,10.22.64.192,51280,138
03/17/2025-22:54:56.323848,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,172.217.138.39,443,10.22.64.192,51280,139
03/17/2025-22:54:56.323848,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,172.217.138.39,443,10.22.64.192,51280,140
03/17/2025-22:54:56.323848,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,172.217.138.39,443,10.22.64.192,51280,141
03/17/2025-22:54:56.324812,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,172.217.138.39,443,10.22.64.192,51280,142
03/17/2025-22:54:57.916815,[1:2200075:2] SURICATA UDPv4 invalid checksum,Generic Protocol Command Decode,3,UDP,142.250.183.3,443,10.22.64.192,50997,143
03/17/2025-22:54:57.916815,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,142.250.183.3,443,10.22.64.192,50997,144
03/17/2025-22:54:59.283030,[1:2200075:2] SURICATA UDPv4 invalid checksum,Generic Protocol Command Decode,3,UDP,142.250.192.2,443,10.22.64.192,51424,145
03/17/2025-22:54:59.283030,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,142.250.192.2,443,10.22.64.192,51424,146
03/17/2025-22:55:04.988995,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.64.146,57621,10.22.67.255,57621,147
03/17/2025-22:55:14.374553,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.120,57621,10.22.67.255,57621,148
03/17/2025-22:55:14.376666,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.249,57621,10.22.67.255,57621,149
03/17/2025-22:55:14.391428,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.67.162,57621,10.22.67.255,57621,150
03/17/2025-22:55:26.630666,[1:2200075:2] SURICATA UDPv4 invalid checksum,Generic Protocol Command Decode,3,UDP,172.217.136.39,443,10.22.64.192,44356,151
03/17/2025-22:55:26.630666,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,172.217.136.39,443,10.22.64.192,44356,152
03/17/2025-22:55:27.557322,[1:2200075:2] SURICATA UDPv4 invalid checksum,Generic Protocol Command Decode,3,UDP,142.250.192.2,443,10.22.64.192,56062,153
03/17/2025-22:55:27.557322,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,142.250.192.2,443,10.22.64.192,56062,154
03/17/2025-22:55:58.107951,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.67.180,57621,10.22.67.255,57621,155
03/17/2025-22:57:04.666003,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.67.184,57621,10.22.67.255,57621,156
03/17/2025-22:57:41.785383,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.66.121,57621,10.22.67.255,57621,157
03/17/2025-22:58:32.779633,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.119,57621,10.22.67.255,57621,158
03/17/2025-22:59:30.301570,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.66.116,57621,10.22.67.255,57621,159
03/17/2025-22:59:34.542641,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.178,57621,10.22.67.255,57621,160
03/17/2025-22:59:36.058139,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.64.204,57621,10.22.67.255,57621,161
03/17/2025-22:59:39.496379,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.180,57621,10.22.67.255,57621,162
03/17/2025-22:59:39.845971,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.66.236,57621,10.22.67.255,57621,163
03/17/2025-22:59:40.384454,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.195,57621,10.22.67.255,57621,164
03/17/2025-22:59:44.020660,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.91,57621,10.22.67.255,57621,165
03/17/2025-22:59:57.703678,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.66.83,57621,10.22.67.255,57621,166
